iter	Passed	Remaining
183	360	1598
184	361	1593
185	363	1589
186	364	1584
187	365	1580
188	367	1576
189	368	1571
190	369	1566
191	370	1561
192	372	1556
193	373	1551
194	374	1546
195	375	1542
196	377	1537
197	378	1533
198	379	1528
199	381	1524
200	382	1519
201	383	1515
202	385	1511
203	386	1508
204	387	1503
205	388	1499
206	390	1495
207	391	1492
208	393	1487
209	394	1483
210	395	1480
211	397	1476
212	398	1471
213	399	1468
214	401	1466
215	405	1470
216	408	1473
217	411	1477
218	414	1479
219	416	1478
220	419	1478
221	421	1478
222	424	1477
223	426	1476
224	428	1474
225	429	1472
226	431	1470
227	433	1468
228	435	1466
229	437	1464
230	439	1463
231	441	1460
232	442	1458
233	444	1456
234	446	1453
235	448	1451
236	450	1449
237	452	1447
238	454	1446
239	456	1445
240	458	1444
241	460	1443
242	464	1446
243	483	1498
244	485	1495
245	486	1491
246	488	1488
247	489	1485
248	491	1482
249	493	1480
250	495	1477
251	496	1473
252	497	1468
253	501	1471
254	513	1501
255	516	1500
256	518	1498
257	520	1496
258	522	1494
259	523	1491
260	525	1488
261	527	1486
262	530	1486
263	532	1484
264	534	1481
265	535	1478
266	537	1475
267	538	1471
268	540	1468
269	541	1464
270	542	1460
271	544	1457
272	546	1454
273	547	1451
274	548	1447
275	550	1442
276	551	1439
277	552	1435
278	554	1432
279	555	1427
280	556	1423
281	557	1420
282	558	1416
283	559	1411
284	561	1408
285	562	1404
286	563	1400
287	565	1397
288	566	1393
289	567	1390
290	569	1386
291	570	1383
292	572	1380
293	573	1376
294	574	1372
295	575	1368
296	576	1365
297	577	1361
298	579	1358
299	580	1354
300	581	1350
301	583	1348
302	584	1345
303	586	1342
304	587	1338
305	588	1335
306	590	1332
307	591	1328
308	592	1325
309	593	1321
310	594	1318
311	596	1315
312	597	1311
313	599	1308
314	600	1305
315	601	1302
316	603	1299
317	604	1295
318	605	1293
319	606	1289
320	608	1287
321	609	1283
322	610	1280
323	612	1277
324	615	1277
325	616	1273
326	617	1270
327	618	1267
328	619	1264
329	620	1260
330	622	1257
331	623	1254
332	624	1250
333	625	1248
334	627	1244
335	628	1241
336	629	1239
337	631	1236
338	632	1233
339	633	1230
340	634	1227
341	636	1224
342	637	1221
343	638	1218
344	639	1214
345	641	1212
346	642	1209
347	646	1211
348	648	1209
349	650	1207
350	651	1204
351	653	1202
352	654	1199
353	656	1197
354	658	1196
355	661	1196
356	664	1196
357	667	1196
358	670	1197
359	673	1198
360	675	1195
361	679	1197
362	681	1196
363	683	1194
364	684	1191
365	686	1188
366	687	1185
367	688	1182
368	689	1179
369	690	1175
370	691	1173
371	693	1170
372	694	1167
373	695	1164
374	697	1161
375	698	1159
376	699	1156
377	700	1153
378	701	1150
379	703	1147
380	704	1144
381	705	1141
382	706	1138
383	708	1135
384	709	1133
385	710	1130
386	711	1127
387	712	1124
388	713	1121
389	715	1118
390	716	1115
391	717	1113
392	718	1110
393	720	1107
394	721	1104
395	723	1103
396	724	1100
397	725	1098
398	727	1095
399	728	1092
400	729	1090
401	731	1087
402	732	1084
403	733	1081
404	735	1079
405	736	1077
406	737	1075
407	739	1072
408	740	1070
409	742	1068
410	743	1065
411	744	1062
412	746	1060
413	747	1057
414	748	1055
415	750	1052
416	751	1050
417	752	1048
418	754	1046
419	755	1043
420	756	1040
421	758	1038
422	759	1036
423	760	1033
424	761	1030
425	763	1028
426	764	1025
427	765	1023
428	767	1021
429	768	1019
430	770	1017
431	771	1014
432	773	1012
433	775	1011
434	776	1008
435	777	1005
436	778	1003
437	779	1000
438	782	999
439	784	998
440	786	997
441	788	996
442	792	996
443	799	1001
444	813	1014
445	831	1032
446	833	1031
447	835	1029
448	837	1027
449	852	1041
450	863	1051
451	866	1050
452	868	1049
453	878	1056
454	880	1054
455	882	1052
456	884	1050
457	886	1049
458	888	1047
459	890	1045
460	895	1046
461	897	1045
462	899	1043
463	901	1041
464	903	1039
465	905	1037
466	906	1034
467	907	1032
468	909	1029
469	910	1026
470	911	1024
471	913	1021
472	914	1018
473	915	1016
474	916	1013
475	917	1010
476	919	1007
477	920	1005
478	921	1002
479	922	999
480	924	997
481	925	994
482	927	992
483	929	990
484	930	987
485	931	985
486	933	982
487	934	980
488	935	977
489	936	975
490	938	972
491	940	971
492	942	968
493	943	966
494	944	963
495	946	961
496	947	958
497	948	956
498	949	953
499	950	950
500	952	948
501	953	946
502	954	943
503	956	941
504	957	938
505	959	936
506	960	933
507	961	931
508	963	928
509	964	926
510	965	924
511	967	921
512	968	919
513	970	917
514	972	916
515	974	914
516	976	912
517	978	910
518	980	908
519	982	906
520	983	904
521	987	904
522	990	902
523	991	901
524	993	899
525	995	897
526	998	895
527	999	893
528	1001	891
529	1003	889
530	1005	888
531	1007	886
532	1009	884
533	1012	883
534	1014	881
535	1016	879
536	1018	877
537	1019	875
538	1021	873
539	1023	871
540	1025	869
541	1026	867
542	1028	865
543	1029	863
544	1031	861
545	1033	858
546	1034	856
547	1036	854
548	1038	853
549	1040	851
550	1041	849
551	1043	847
552	1045	844
553	1047	843
554	1050	842
555	1052	840
556	1054	838
557	1056	836
558	1058	834
559	1059	832
560	1062	831
561	1064	829
562	1066	827
563	1068	825
564	1071	824
565	1073	822
566	1074	820
567	1075	818
568	1077	815
569	1078	813
570	1079	811
571	1080	808
572	1082	806
573	1083	803
574	1084	801
575	1085	799
576	1087	796
577	1088	794
578	1089	792
579	1090	789
580	1091	787
581	1093	785
582	1094	782
583	1095	780
584	1096	778
585	1097	775
586	1099	773
587	1100	770
588	1101	768
589	1102	766
590	1103	763
591	1104	761
592	1106	759
593	1107	756
594	1108	754
595	1109	752
596	1110	749
597	1112	747
598	1113	745
599	1114	743
600	1116	741
601	1117	739
602	1119	737
603	1120	734
604	1121	732
605	1122	729
606	1123	727
607	1125	725
608	1126	723
609	1128	721
610	1129	719
611	1130	716
612	1131	714
613	1133	712
614	1134	710
615	1135	708
616	1137	705
617	1138	703
618	1139	701
619	1141	699
620	1142	697
621	1143	694
622	1144	692
623	1145	690
624	1146	688
625	1148	686
626	1150	684
627	1151	682
628	1152	679
629	1154	677
630	1155	675
631	1156	673
632	1158	671
633	1159	669
634	1160	666
635	1161	664
636	1162	662
637	1163	660
638	1165	658
639	1166	656
640	1167	654
641	1169	651
642	1170	649
643	1171	647
644	1172	645
645	1173	643
646	1174	640
647	1175	638
648	1176	636
649	1177	634
650	1179	632
651	1181	630
652	1182	628
653	1183	626
654	1185	624
655	1186	622
656	1188	620
657	1189	618
658	1190	616
659	1192	614
660	1193	612
661	1194	609
662	1195	607
663	1197	605
664	1198	603
665	1199	601
666	1200	599
667	1202	597
668	1203	595
669	1204	593
670	1205	591
671	1206	589
672	1207	586
673	1208	584
674	1210	582
675	1211	580
676	1213	578
677	1214	576
678	1215	574
679	1217	572
680	1218	570
681	1219	568
682	1221	566
683	1222	564
684	1224	562
685	1225	560
686	1227	559
687	1229	557
688	1232	556
689	1234	554
690	1236	552
691	1239	551
692	1241	549
693	1242	547
694	1244	546
695	1245	544
696	1246	542
697	1248	539
698	1249	537
699	1250	536
700	1252	534
701	1254	532
702	1255	530
703	1256	528
704	1258	526
705	1259	524
706	1260	522
707	1262	520
708	1263	518
709	1264	516
710	1265	514
711	1266	512
712	1268	510
713	1269	508
714	1270	506
715	1271	504
716	1273	502
717	1274	500
718	1276	498
719	1277	496
720	1278	494
721	1279	492
722	1280	490
723	1281	488
724	1283	486
725	1284	484
726	1285	482
727	1286	480
728	1287	478
729	1288	476
730	1290	474
731	1291	472
732	1292	470
733	1294	468
734	1295	466
735	1296	465
736	1297	463
737	1298	461
738	1299	459
739	1301	457
740	1302	455
741	1303	453
742	1304	451
743	1306	449
744	1308	447
745	1309	445
746	1310	443
747	1312	442
748	1313	440
749	1315	438
750	1316	436
751	1317	434
752	1319	432
753	1320	430
754	1321	428
755	1323	427
756	1324	425
757	1325	423
758	1326	421
759	1328	419
760	1329	417
761	1330	415
762	1332	413
763	1333	411
764	1334	409
765	1336	408
766	1337	406
767	1338	404
768	1339	402
769	1341	400
770	1342	398
771	1343	396
772	1344	394
773	1346	393
774	1347	391
775	1348	389
776	1350	387
777	1352	385
778	1353	384
779	1355	382
780	1356	380
781	1357	378
782	1358	376
783	1359	374
784	1360	372
785	1362	370
786	1363	369
787	1364	367
788	1366	365
789	1367	363
790	1369	361
791	1370	359
792	1371	358
793	1373	356
794	1374	354
795	1375	352
796	1376	350
797	1378	348
798	1379	347
799	1380	345
800	1382	343
801	1383	341
802	1384	339
803	1385	337
804	1386	335
805	1388	334
806	1389	332
807	1390	330
808	1391	328
809	1393	326
810	1394	324
811	1395	323
812	1397	321
813	1398	319
814	1401	318
815	1403	316
816	1407	315
817	1410	313
818	1415	312
819	1418	311
820	1421	309
821	1428	309
822	1433	308
823	1436	306
824	1440	305
825	1445	304
826	1450	303
827	1451	301
828	1453	299
829	1455	298
830	1456	296
831	1459	294
832	1463	293
833	1467	292
834	1470	290
835	1473	289
836	1475	287
837	1480	286
838	1483	284
839	1486	283
840	1490	281
841	1493	280
842	1497	278
843	1499	277
844	1502	275
845	1504	273
846	1505	271
847	1506	270
848	1507	268
849	1509	266
850	1510	264
851	1512	262
852	1513	260
853	1515	259
854	1516	257
855	1517	255
856	1518	253
857	1520	251
858	1521	249
859	1522	247
860	1523	246
861	1525	244
862	1526	242
863	1528	240
864	1529	238
865	1531	236
866	1532	235
867	1534	233
868	1536	231
869	1537	229
870	1538	227
871	1541	226
872	1542	224
873	1543	222
874	1544	220
875	1546	218
876	1547	217
877	1548	215
878	1549	213
879	1551	211
880	1552	209
881	1554	207
882	1557	206
883	1558	204
884	1559	202
885	1561	200
886	1563	199
887	1565	197
888	1568	195
889	1571	194
890	1575	192
891	1578	191
892	1579	189
893	1581	187
894	1582	185
895	1583	183
896	1585	182
897	1586	180
898	1587	178
899	1588	176
900	1590	174
901	1591	172
902	1592	171
903	1594	169
904	1595	167
905	1596	165
906	1597	163
907	1599	162
908	1600	160
909	1601	158
910	1603	156
911	1604	154
912	1605	153
913	1607	151
914	1608	149
915	1609	147
916	1611	145
917	1612	144
918	1613	142
919	1615	140
920	1618	138
921	1620	137
922	1622	135
923	1624	133
924	1627	131
925	1629	130
926	1630	128
927	1632	126
928	1633	124
929	1635	123
930	1637	121
931	1638	119
932	1639	117
933	1641	115
934	1642	114
935	1643	112
936	1644	110
937	1646	108
938	1647	107
939	1648	105
940	1650	103
941	1651	101
942	1652	99
943	1653	98
944	1655	96
945	1656	94
946	1657	92
947	1658	90
948	1659	89
949	1660	87
950	1662	85
951	1663	83
952	1664	82
953	1665	80
954	1667	78
955	1668	76
956	1670	75
957	1671	73
958	1672	71
959	1673	69
960	1674	67
961	1675	66
962	1677	64
963	1678	62
964	1680	60
965	1681	59
966	1682	57
967	1684	55
968	1686	53
969	1687	52
970	1688	50
971	1689	48
972	1691	46
973	1692	45
974	1693	43
975	1695	41
976	1696	39
977	1697	38
978	1698	36
979	1700	34
980	1701	32
981	1702	31
982	1703	29
983	1705	27
984	1706	25
985	1707	24
986	1709	22
987	1710	20
988	1711	19
989	1713	17
990	1714	15
991	1715	13
992	1716	12
993	1717	10
994	1718	8
995	1720	6
996	1721	5
997	1722	3
998	1724	1
999	1725	0
